Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
29/04/2003,Viet Nam,63,5,53
30/04/2003,Brazil,2,0,2
30/04/2003,Bulgaria,1,0,0
30/04/2003,Canada,148,20,87
30/04/2003,China,3460,159,1332
30/04/2003,"Hong Kong SAR, China",1589,157,791
30/04/2003,"Macao SAR, China",1,0,0
30/04/2003,"Taiwan, China",78,1,25
30/04/2003,France,5,0,1
30/04/2003,Germany,7,0,7
30/04/2003,Indonesia,2,0,1
30/04/2003,Italy,9,0,4
30/04/2003,Japan,2,0,0
30/04/2003,Kuwait,1,0,1
30/04/2003,Malaysia,6,2,3
30/04/2003,Mongolia,6,0,3
30/04/2003,Philippines,4,2,1
30/04/2003,Republic of Ireland,1,0,1
30/04/2003,Republic of Korea,1,0,0
30/04/2003,Romania,1,0,1
30/04/2003,Singapore,201,24,139
30/04/2003,South Africa,1,0,0
30/04/2003,Spain,1,0,1
30/04/2003,Sweden,3,0,2
30/04/2003,Switzerland,1,0,1
30/04/2003,Thailand,7,2,5
30/04/2003,United Kingdom,6,0,6
30/04/2003,United States,52,0,0
30/04/2003,Viet Nam,63,5,53
01/05/2003,Brazil,2,0,2
01/05/2003,Bulgaria,1,0,0
01/05/2003,Canada,147,20,87
01/05/2003,China,3638,170,1351
01/05/2003,"Hong Kong SAR, China",1600,162,834
01/05/2003,"Macao SAR, China",1,0,0
01/05/2003,"Taiwan, China",89,3,25
01/05/2003,France,5,0,1
01/05/2003,Germany,7,0,7
01/05/2003,Indonesia,2,0,1
01/05/2003,Italy,9,0,4
01/05/2003,Japan,2,0,0
01/05/2003,Kuwait,1,0,1
01/05/2003,Malaysia,6,2,3
01/05/2003,Mongolia,6,0,3
01/05/2003,Philippines,4,2,1
01/05/2003,Poland,1,0,0
01/05/2003,Republic of Ireland,1,0,1
01/05/2003,Republic of Korea,1,0,0
01/05/2003,Romania,1,0,1
01/05/2003,Singapore,201,25,143
01/05/2003,South Africa,1,0,0
01/05/2003,Spain,1,0,1
01/05/2003,Sweden,3,0,2
01/05/2003,Switzerland,1,0,1
01/05/2003,Thailand,7,2,5
01/05/2003,United Kingdom,6,0,6
01/05/2003,United States,54,0,23
01/05/2003,Viet Nam,63,5,56
02/05/2003,Brazil,2,0,2
02/05/2003,Bulgaria,1,0,0
02/05/2003,Canada,149,22,93
02/05/2003,China,3799,181,1372
02/05/2003,"Hong Kong SAR, China",1611,170,878
02/05/2003,"Macao SAR, China",1,0,0
02/05/2003,"Taiwan, China",100,8,25
02/05/2003,France,5,0,4
02/05/2003,Germany,7,0,7
02/05/2003,Indonesia,2,0,1
02/05/2003,Italy,9,0,4
02/05/2003,Kuwait,1,0,1
02/05/2003,Malaysia,6,2,3
02/05/2003,Mongolia,8,0,4
02/05/2003,New Zealand,1,0,1
02/05/2003,Philippines,3,2,1
02/05/2003,Poland,1,0,0
02/05/2003,Republic of Ireland,1,0,1
02/05/2003,Republic of Korea,1,0,0
02/05/2003,Romania,1,0,1
02/05/2003,Singapore,203,25,146
02/05/2003,South Africa,1,0,0
02/05/2003,Spain,1,0,1
02/05/2003,Sweden,3,0,2
02/05/2003,Switzerland,1,0,1
02/05/2003,Thailand,7,2,5
02/05/2003,United Kingdom,6,0,6
02/05/2003,United States,56,0,24
02/05/2003,Viet Nam,63,5,56
03/05/2003,Brazil,2,0,2
03/05/2003,Bulgaria,1,0,0
03/05/2003,Canada,149,22,94
03/05/2003,China,3971,190,1406
03/05/2003,"Hong Kong SAR, China",1621,179,898
03/05/2003,"Macao SAR, China",1,0,0
03/05/2003,"Taiwan, China",100,8,25
03/05/2003,France,5,0,4
03/05/2003,Germany,7,0,7
03/05/2003,Indonesia,2,0,1
03/05/2003,Italy,9,0,4
03/05/2003,Kuwait,1,0,1
03/05/2003,Malaysia,6,2,3
03/05/2003,Mongolia,8,0,4
03/05/2003,New Zealand,1,0,1
03/05/2003,Philippines,3,2,1
03/05/2003,Poland,1,0,0
03/05/2003,Republic of Ireland,1,0,1
03/05/2003,Republic of Korea,1,0,0
03/05/2003,Romania,1,0,1
03/05/2003,Singapore,203,25,147
03/05/2003,South Africa,1,0,1
03/05/2003,Spain,1,0,1
03/05/2003,Sweden,3,0,2
03/05/2003,Switzerland,1,0,1
03/05/2003,Thailand,7,2,5
03/05/2003,United Kingdom,6,0,6
03/05/2003,United States,54,0,24
03/05/2003,Viet Nam,63,5,58
05/05/2003,Brazil,2,0,2
05/05/2003,Bulgaria,1,0,0
05/05/2003,Canada,148,22,93
05/05/2003,China,4280,206,1433
05/05/2003,"Hong Kong SAR, China",1637,187,930
05/05/2003,"Macao SAR, China",1,0,0
05/05/2003,"Taiwan, China",116,8,25
05/05/2003,France,5,0,4
05/05/2003,Germany,7,0,7
05/05/2003,Indonesia,2,0,1
05/05/2003,Italy,9,0,4
05/05/2003,Kuwait,1,0,1
05/05/2003,Malaysia,7,2,4
05/05/2003,Mongolia,8,0,4
05/05/2003,New Zealand,1,0,1
05/05/2003,Philippines,3,2,1
05/05/2003,Poland,1,0,0
05/05/2003,Republic of Ireland,1,0,1
05/05/2003,Republic of Korea,1,0,0
05/05/2003,Romania,1,0,1
05/05/2003,Singapore,204,26,149
05/05/2003,South Africa,1,1,0
05/05/2003,Spain,1,0,1
05/05/2003,Sweden,3,0,2
05/05/2003,Switzerland,1,0,1
05/05/2003,Thailand,7,2,5
05/05/2003,United Kingdom,6,0,6
05/05/2003,United States,61,0,26
05/05/2003,Viet Nam,63,5,58
06/05/2003,Brazil,2,0,2
06/05/2003,Bulgaria,1,0,0
06/05/2003,Canada,148,22,93
06/05/2003,China,4409,214,1460
06/05/2003,"Hong Kong SAR, China",1646,193,958
06/05/2003,"Macao SAR, China",1,0,0
06/05/2003,"Taiwan, China",116,10,25
06/05/2003,Colombia,1,0,1
06/05/2003,France,5,0,4
06/05/2003,Germany,7,0,7
06/05/2003,India,1,0,0
06/05/2003,Indonesia,2,0,1
06/05/2003,Italy,9,0,4
06/05/2003,Kuwait,1,0,1
06/05/2003,Malaysia,7,2,4
06/05/2003,Mongolia,8,0,4
06/05/2003,New Zealand,1,0,1
06/05/2003,Philippines,3,2,1
06/05/2003,Poland,1,0,0
06/05/2003,Republic of Ireland,1,0,1
06/05/2003,Republic of Korea,1,0,0
06/05/2003,Romania,1,0,1
06/05/2003,Singapore,204,27,149
06/05/2003,South Africa,1,1,0
06/05/2003,Spain,1,0,1
06/05/2003,Sweden,3,0,2
06/05/2003,Switzerland,1,0,1
06/05/2003,Thailand,7,2,5
06/05/2003,United Kingdom,6,0,6
06/05/2003,United States,65,0,32
06/05/2003,Viet Nam,63,5,58
07/05/2003,Brazil,2,0,2
07/05/2003,Bulgaria,1,0,0
07/05/2003,Canada,146,22,93
07/05/2003,China,4560,219,1487
07/05/2003,"Hong Kong SAR, China",1654,204,984
07/05/2003,"Macao SAR, China",1,0,0
07/05/2003,"Taiwan, China",125,11,26
07/05/2003,Colombia,1,0,1
07/05/2003,France,6,0,4
07/05/2003,Germany,8,0,7
07/05/2003,India,1,0,0
07/05/2003,Indonesia,2,0,1
07/05/2003,Italy,9,0,5
07/05/2003,Kuwait,1,0,1
07/05/2003,Malaysia,7,2,4
07/05/2003,Mongolia,9,0,6
07/05/2003,New Zealand,1,0,1
07/05/2003,Philippines,10,2,2
07/05/2003,Poland,1,0,0
07/05/2003,Republic of Ireland,1,0,1
07/05/2003,Republic of Korea,1,0,0
07/05/2003,Romania,1,0,1
07/05/2003,Singapore,204,27,150
07/05/2003,South Africa,1,1,0
07/05/2003,Spain,1,0,1
07/05/2003,Sweden,3,0,2
07/05/2003,Switzerland,1,0,1
07/05/2003,Thailand,7,2,5
07/05/2003,United Kingdom,6,0,6
07/05/2003,United States,65,0,32
07/05/2003,Viet Nam,63,5,58
08/05/2003,Brazil,2,0,2
08/05/2003,Bulgaria,1,0,0
08/05/2003,Canada,146,22,95
08/05/2003,China,4698,224,1529
08/05/2003,"Hong Kong SAR, China",1661,208,1008
08/05/2003,"Macao SAR, China",1,0,0
08/05/2003,"Taiwan, China",131,13,26
08/05/2003,Colombia,1,0,1
08/05/2003,Finland,1,0,0
08/05/2003,France,6,0,4
08/05/2003,Germany,8,0,7
08/05/2003,India,1,0,0
08/05/2003,Indonesia,2,0,1
08/05/2003,Italy,9,0,6
08/05/2003,Kuwait,1,0,1
08/05/2003,Malaysia,7,2,4
08/05/2003,Mongolia,9,0,6
08/05/2003,New Zealand,1,0,1
08/05/2003,Philippines,10,2,2
08/05/2003,Poland,1,0,0
08/05/2003,Republic of Ireland,1,0,1
08/05/2003,Republic of Korea,1,0,1
08/05/2003,Romania,1,0,1
08/05/2003,Singapore,204,27,153
08/05/2003,South Africa,1,1,0
08/05/2003,Spain,1,0,1
08/05/2003,Sweden,3,0,2
08/05/2003,Switzerland,1,0,1
08/05/2003,Thailand,7,2,5
08/05/2003,United Kingdom,6,0,6
08/05/2003,United States,63,0,33
08/05/2003,Viet Nam,63,5,58
09/05/2003,Brazil,2,0,2
09/05/2003,Bulgaria,1,0,0
09/05/2003,Canada,145,22,94
09/05/2003,China,4805,230,1582
09/05/2003,"Hong Kong SAR, China",1667,210,1015
09/05/2003,"Macao SAR, China",1,0,0
09/05/2003,"Taiwan, China",149,13,26
09/05/2003,Colombia,1,0,1
09/05/2003,Finland,1,0,0
09/05/2003,France,6,0,4
09/05/2003,Germany,9,0,9
09/05/2003,India,1,0,0
09/05/2003,Indonesia,2,0,1
09/05/2003,Italy,9,0,9
09/05/2003,Kuwait,1,0,1
09/05/2003,Malaysia,6,2,4
09/05/2003,Mongolia,9,0,6
09/05/2003,New Zealand,1,0,1
09/05/2003,Philippines,10,2,2
09/05/2003,Poland,1,0,0
09/05/2003,Republic of Ireland,1,0,1
09/05/2003,Republic of Korea,1,0,1
09/05/2003,Romania,1,0,1
09/05/2003,Singapore,204,27,153
09/05/2003,South Africa,1,1,0
09/05/2003,Spain,1,0,1
09/05/2003,Sweden,3,0,2
09/05/2003,Switzerland,1,0,1
09/05/2003,Thailand,7,2,5
09/05/2003,United Kingdom,6,0,6
09/05/2003,United States,63,0,33
09/05/2003,Viet Nam,63,5,58
10/05/2003,Brazil,2,0,2
10/05/2003,Bulgaria,1,0,0
10/05/2003,Canada,145,22,97
10/05/2003,China,4884,235,1620
10/05/2003,"Hong Kong SAR, China",1674,212,1035
10/05/2003,"Macao SAR, China",1,0,0
10/05/2003,"Taiwan, China",172,18,26
10/05/2003,Colombia,1,0,1
10/05/2003,Finland,1,0,0
10/05/2003,France,7,0,4
10/05/2003,Germany,9,0,9
10/05/2003,India,1,0,0
10/05/2003,Indonesia,2,0,1
10/05/2003,Italy,9,0,9
10/05/2003,Kuwait,1,0,1
10/05/2003,Malaysia,7,2,4
10/05/2003,Mongolia,9,0,6
10/05/2003,New Zealand,1,0,1
10/05/2003,Philippines,10,2,2
10/05/2003,Poland,1,0,0
10/05/2003,Republic of Ireland,1,0,1
10/05/2003,Republic of Korea,1,0,1
10/05/2003,Romania,1,0,1
10/05/2003,Singapore,205,27,155
10/05/2003,South Africa,1,1,0
10/05/2003,Spain,1,0,1
10/05/2003,Sweden,3,0,2
10/05/2003,Switzerland,1,0,1
10/05/2003,Thailand,7,2,5
10/05/2003,United Kingdom,6,0,6
10/05/2003,United States,64,0,34
10/05/2003,Viet Nam,63,5,58
12/05/2003,Brazil,2,0,2
12/05/2003,Bulgaria,1,0,0
12/05/2003,Canada,143,22,98
12/05/2003,China,5013,252,1693
12/05/2003,"Hong Kong SAR, China",1683,218,1066
12/05/2003,"Macao SAR, China",1,0,0
12/05/2003,"Taiwan, China",184,20,26
12/05/2003,Colombia,1,0,1
12/05/2003,Finland,1,0,0
12/05/2003,France,7,0,4
12/05/2003,Germany,9,0,9
12/05/2003,India,1,0,0
12/05/2003,Indonesia,2,0,1
12/05/2003,Italy,9,0,8
12/05/2003,Kuwait,1,0,1
12/05/2003,Malaysia,7,2,4
12/05/2003,Mongolia,9,0,6
12/05/2003,New Zealand,1,0,1
12/05/2003,Philippines,10,2,3
12/05/2003,Poland,1,0,0
12/05/2003,Republic of Ireland,1,0,1
12/05/2003,Republic of Korea,2,0,1
12/05/2003,Romania,1,0,1
12/05/2003,Singapore,205,28,156
12/05/2003,South Africa,1,1,0
12/05/2003,Spain,1,0,1
12/05/2003,Sweden,3,0,2
12/05/2003,Switzerland,1,0,1
12/05/2003,Thailand,7,2,5
12/05/2003,United Kingdom,6,0,6
12/05/2003,United States,64,0,34
12/05/2003,Viet Nam,63,5,58
13/05/2003,Brazil,2,0,2
13/05/2003,Bulgaria,1,0,0
13/05/2003,Canada,143,22,99
13/05/2003,China,5086,262,1765
13/05/2003,"Hong Kong SAR, China",1689,225,1090
13/05/2003,"Macao SAR, China",1,0,0
13/05/2003,"Taiwan, China",207,24,30
13/05/2003,Colombia,1,0,1
13/05/2003,Finland,1,0,0
13/05/2003,France,7,0,4
13/05/2003,Germany,9,0,9
13/05/2003,India,3,0,0
13/05/2003,Indonesia,2,0,1
13/05/2003,Italy,9,0,9
13/05/2003,Kuwait,1,0,1
13/05/2003,Malaysia,7,2,4
13/05/2003,Mongolia,9,0,6
13/05/2003,New Zealand,1,0,1
13/05/2003,Philippines,10,2,3
13/05/2003,Republic of Ireland,1,0,1
13/05/2003,Republic of Korea,2,0,1
13/05/2003,Romania,1,0,1
13/05/2003,Singapore,205,28,157
13/05/2003,South Africa,1,1,0
13/05/2003,Spain,1,0,1
13/05/2003,Sweden,3,0,3
13/05/2003,Switzerland,1,0,1
13/05/2003,Thailand,7,2,5
13/05/2003,United Kingdom,4,0,4
13/05/2003,United States,64,0,35
13/05/2003,Viet Nam,63,5,58
14/05/2003,Brazil,2,0,2
14/05/2003,Bulgaria,1,0,0
14/05/2003,Canada,143,23,104
14/05/2003,China,5124,267,1811
14/05/2003,"Hong Kong SAR, China",1698,227,1128
14/05/2003,"Macao SAR, China",1,0,0
14/05/2003,"Taiwan, China",238,30,38
14/05/2003,Colombia,1,0,1
14/05/2003,Finland,1,0,0
14/05/2003,France,7,0,4
14/05/2003,Germany,9,0,9
14/05/2003,India,3,0,0
14/05/2003,Indonesia,2,0,2
14/05/2003,Italy,9,0,9
14/05/2003,Kuwait,1,0,1
14/05/2003,Malaysia,7,2,5
14/05/2003,Mongolia,9,0,6
14/05/2003,New Zealand,1,0,1
14/05/2003,Philippines,10,2,3
14/05/2003,Republic of Ireland,1,0,1
14/05/2003,Republic of Korea,3,0,1
14/05/2003,Romania,1,0,1
14/05/2003,Singapore,205,28,157
14/05/2003,South Africa,1,1,0
14/05/2003,Spain,1,0,1
14/05/2003,Sweden,3,0,3
14/05/2003,Switzerland,1,0,1
14/05/2003,Thailand,8,2,5
14/05/2003,United Kingdom,4,0,4
14/05/2003,United States,64,0,35
14/05/2003,Viet Nam,63,5,58
15/05/2003,Brazil,2,0,2
15/05/2003,Bulgaria,1,0,0
15/05/2003,Canada,142,23,107
15/05/2003,China,5163,271,1858
15/05/2003,"Hong Kong SAR, China",1703,234,1160
15/05/2003,"Macao SAR, China",1,0,0
15/05/2003,"Taiwan, China",264,30,38
15/05/2003,Colombia,1,0,1
15/05/2003,Finland,1,0,0
15/05/2003,France,7,0,4
15/05/2003,Germany,9,0,9
15/05/2003,India,3,0,3
15/05/2003,Indonesia,2,0,2
15/05/2003,Italy,9,0,9
15/05/2003,Kuwait,1,0,1
15/05/2003,Malaysia,7,2,5
15/05/2003,Mongolia,9,0,7
15/05/2003,New Zealand,1,0,1
15/05/2003,Philippines,12,2,4
15/05/2003,Republic of Ireland,1,0,1
15/05/2003,Republic of Korea,3,0,1
15/05/2003,Romania,1,0,1
15/05/2003,Singapore,205,28,157
15/05/2003,South Africa,1,1,0
15/05/2003,Spain,1,0,1
15/05/2003,Sweden,3,0,3
15/05/2003,Switzerland,1,0,1
15/05/2003,Thailand,8,2,5
15/05/2003,United Kingdom,4,0,4
15/05/2003,United States,64,0,35
15/05/2003,Viet Nam,63,5,58
16/05/2003,Brazil,2,0,2
16/05/2003,Bulgaria,1,0,0
16/05/2003,Canada,140,23,106
16/05/2003,China,5191,275,1947
16/05/2003,"Hong Kong SAR, China",1706,238,1171
16/05/2003,"Macao SAR, China",1,0,0
16/05/2003,"Taiwan, China",274,35,46
16/05/2003,Colombia,1,0,1
16/05/2003,Finland,1,0,0
16/05/2003,France,7,0,4
16/05/2003,Germany,9,0,9
16/05/2003,India,3,0,3
16/05/2003,Indonesia,2,0,2
16/05/2003,Italy,9,0,9
16/05/2003,Kuwait,1,0,1
16/05/2003,Malaysia,7,2,5
16/05/2003,Mongolia,9,0,7
16/05/2003,New Zealand,1,0,1
16/05/2003,Philippines,12,2,4
16/05/2003,Republic of Ireland,1,0,1
16/05/2003,Republic of Korea,3,0,1
16/05/2003,Romania,1,0,1
16/05/2003,Singapore,205,28,157
16/05/2003,South Africa,1,1,0
16/05/2003,Spain,1,0,1
16/05/2003,Sweden,3,0,3
16/05/2003,Switzerland,1,0,1
16/05/2003,Thailand,8,2,5
16/05/2003,United Kingdom,4,0,4
16/05/2003,United States,65,0,34
16/05/2003,Viet Nam,63,5,58
17/05/2003,Brazil,2,0,2
17/05/2003,Canada,140,23,106
17/05/2003,China,5209,282,2009
17/05/2003,"Hong Kong SAR, China",1710,243,1191
17/05/2003,"Macao SAR, China",1,0,0
17/05/2003,"Taiwan, China",274,35,46
17/05/2003,Colombia,1,0,1
17/05/2003,Finland,1,0,0
17/05/2003,France,7,0,6
17/05/2003,Germany,9,0,9
17/05/2003,India,3,0,3
17/05/2003,Indonesia,2,0,2
17/05/2003,Italy,9,0,9
17/05/2003,Kuwait,1,0,1
17/05/2003,Malaysia,7,2,5
17/05/2003,Mongolia,9,0,7
17/05/2003,New Zealand,1,0,1
17/05/2003,Philippines,12,2,4
17/05/2003,Republic of Ireland,1,0,1
17/05/2003,Republic of Korea,3,0,1
17/05/2003,Romania,1,0,1
17/05/2003,Singapore,205,28,157
17/05/2003,South Africa,1,1,0
17/05/2003,Spain,1,0,1
17/05/2003,Sweden,3,0,3
17/05/2003,Switzerland,1,0,1
17/05/2003,Thailand,8,2,5
17/05/2003,United Kingdom,4,0,4
17/05/2003,United States,66,0,34
17/05/2003,Viet Nam,63,5,58
19/05/2003,Brazil,2,0,2
19/05/2003,Canada,140,23,106
19/05/2003,China,5236,289,2148
19/05/2003,"Hong Kong SAR, China",1714,251,1213
19/05/2003,"Macao SAR, China",1,0,0
19/05/2003,"Taiwan, China",344,40,50
19/05/2003,Colombia,1,0,1
19/05/2003,Finland,1,0,0
19/05/2003,France,7,0,6
19/05/2003,Germany,9,0,9
19/05/2003,India,3,0,3
19/05/2003,Indonesia,2,0,2
19/05/2003,Italy,9,0,9
19/05/2003,Kuwait,1,0,1
19/05/2003,Malaysia,7,2,5
19/05/2003,Mongolia,9,0,8
19/05/2003,New Zealand,1,0,1
19/05/2003,Philippines,12,2,8
19/05/2003,Republic of Ireland,1,0,1
19/05/2003,Republic of Korea,3,0,1
19/05/2003,Romania,1,0,1
19/05/2003,Singapore,206,28,160
19/05/2003,South Africa,1,1,0
19/05/2003,Spain,1,0,1
19/05/2003,Sweden,3,0,3
19/05/2003,Switzerland,1,0,1
19/05/2003,Thailand,8,2,5
19/05/2003,United Kingdom,4,0,4
19/05/2003,United States,67,0,34
19/05/2003,Viet Nam,63,5,58
20/05/2003,Brazil,2,0,2
20/05/2003,Canada,140,23,106
20/05/2003,China,5248,294,2254
20/05/2003,"Hong Kong SAR, China",1718,253,1229
20/05/2003,"Macao SAR, China",1,0,0
20/05/2003,"Taiwan, China",383,52,63
20/05/2003,Colombia,1,0,1
20/05/2003,Finland,1,0,0
20/05/2003,France,7,0,6
20/05/2003,Germany,9,0,9
20/05/2003,India,3,0,3
20/05/2003,Indonesia,2,0,2
20/05/2003,Italy,9,0,9
20/05/2003,Kuwait,1,0,1
20/05/2003,Malaysia,7,2,5
20/05/2003,Mongolia,9,0,8
20/05/2003,New Zealand,1,0,1
20/05/2003,Philippines,12,2,8
20/05/2003,Republic of Ireland,1,0,1
20/05/2003,Republic of Korea,3,0,2
20/05/2003,Romania,1,0,1
20/05/2003,Singapore,206,28,161
20/05/2003,South Africa,1,1,0
20/05/2003,Spain,1,0,1
20/05/2003,Sweden,3,0,3
20/05/2003,Switzerland,1,0,1
20/05/2003,Thailand,8,2,5
20/05/2003,United Kingdom,4,0,4
20/05/2003,United States,67,0,34
20/05/2003,Viet Nam,63,5,58
21/05/2003,Brazil,2,0,2
21/05/2003,Canada,140,23,108
21/05/2003,China,5249,296,2335
21/05/2003,"Hong Kong SAR, China",1719,255,1237
21/05/2003,"Macao SAR, China",1,0,0
21/05/2003,"Taiwan, China",418,52,71
21/05/2003,Colombia,1,0,1
21/05/2003,Finland,1,0,1
21/05/2003,France,7,0,6
21/05/2003,Germany,9,0,9
21/05/2003,India,3,0,3
21/05/2003,Indonesia,2,0,2
21/05/2003,Italy,9,0,9
21/05/2003,Kuwait,1,0,1
21/05/2003,Malaysia,8,2,5
21/05/2003,Mongolia,9,0,8
21/05/2003,New Zealand,1,0,1
21/05/2003,Philippines,12,2,10
21/05/2003,Republic of Ireland,1,0,1
21/05/2003,Republic of Korea,3,0,2
21/05/2003,Romania,1,0,1
21/05/2003,Singapore,206,28,161
21/05/2003,South Africa,1,1,0
21/05/2003,Spain,1,0,1
21/05/2003,Sweden,3,0,3
21/05/2003,Switzerland,1,0,1
21/05/2003,Thailand,8,2,5
21/05/2003,United Kingdom,4,0,4
21/05/2003,United States,66,0,33
21/05/2003,Viet Nam,63,5,58
22/05/2003,Australia,6,0,6
22/05/2003,Brazil,2,0,2
22/05/2003,Canada,140,23,109
22/05/2003,China,5271,300,2445
22/05/2003,"Hong Kong SAR, China",1722,258,1247
22/05/2003,"Macao SAR, China",2,0,0
22/05/2003,"Taiwan, China",483,60,74
22/05/2003,Colombia,1,0,1
22/05/2003,Finland,1,0,1
22/05/2003,France,7,0,6
22/05/2003,Germany,9,0,9
22/05/2003,India,3,0,3
22/05/2003,Indonesia,2,0,2
22/05/2003,Italy,9,0,9
22/05/2003,Kuwait,1,0,1
22/05/2003,Malaysia,8,2,5
22/05/2003,Mongolia,9,0,8
22/05/2003,New Zealand,1,0,1
22/05/2003,Philippines,12,2,10
22/05/2003,Republic of Ireland,1,0,1
22/05/2003,Republic of Korea,3,0,2
22/05/2003,Romania,1,0,1
22/05/2003,Singapore,206,29,162
22/05/2003,South Africa,1,1,0
22/05/2003,Spain,1,0,1
22/05/2003,Sweden,3,0,3
22/05/2003,Switzerland,1,0,1
22/05/2003,Thailand,8,2,5
22/05/2003,United Kingdom,4,0,4
22/05/2003,United States,65,0,33
22/05/2003,Viet Nam,63,5,58
23/05/2003,Brazil,2,0,2
23/05/2003,Canada,140,23,109
23/05/2003,China,5285,303,2544
23/05/2003,"Hong Kong SAR, China",1724,260,1255
23/05/2003,"Macao SAR, China",2,0,0
23/05/2003,"Taiwan, China",538,60,82
23/05/2003,Colombia,1,0,1
23/05/2003,Finland,1,0,1
23/05/2003,France,7,0,6
23/05/2003,Germany,9,0,9
23/05/2003,India,3,0,3
23/05/2003,Indonesia,2,0,2
23/05/2003,Italy,9,0,9
23/05/2003,Kuwait,1,0,1
23/05/2003,Malaysia,8,2,5
23/05/2003,Mongolia,9,0,8
23/05/2003,New Zealand,1,0,1
23/05/2003,Philippines,12,2,10
23/05/2003,Republic of Ireland,1,0,1
23/05/2003,Republic of Korea,3,0,2
23/05/2003,Romania,1,0,1
23/05/2003,Singapore,206,31,163
23/05/2003,South Africa,1,1,0
23/05/2003,Spain,1,0,1
23/05/2003,Sweden,3,0,3
23/05/2003,Switzerland,1,0,1
23/05/2003,Thailand,8,2,5
23/05/2003,United Kingdom,4,0,4
23/05/2003,United States,65,0,33
23/05/2003,Viet Nam,63,5,58
24/05/2003,Brazil,2,0,2
24/05/2003,Canada,140,23,109
24/05/2003,China,5309,308,2675
24/05/2003,"Hong Kong SAR, China",1724,262,1266
24/05/2003,"Macao SAR, China",2,0,0
24/05/2003,"Taiwan, China",538,60,82
24/05/2003,Colombia,1,0,1
24/05/2003,Finland,1,0,1
24/05/2003,France,7,0,6
24/05/2003,Germany,9,0,9
24/05/2003,India,3,0,3
24/05/2003,Indonesia,2,0,2
24/05/2003,Italy,9,0,9
24/05/2003,Kuwait,1,0,1
24/05/2003,Malaysia,8,2,5
24/05/2003,Mongolia,9,0,8
24/05/2003,New Zealand,1,0,1
24/05/2003,Philippines,12,2,10
24/05/2003,Republic of Ireland,1,0,1
24/05/2003,Republic of Korea,3,0,2
24/05/2003,Romania,1,0,1
24/05/2003,Singapore,206,31,163
24/05/2003,South Africa,1,1,0
24/05/2003,Spain,1,0,1
24/05/2003,Sweden,3,0,3
24/05/2003,Switzerland,1,0,1
24/05/2003,Thailand,8,2,5
24/05/2003,United Kingdom,4,0,4
24/05/2003,United States,65,0,33
24/05/2003,Viet Nam,63,5,58
26/05/2003,Brazil,2,0,2
26/05/2003,Canada,148,26,110
26/05/2003,China,5316,317,2829
26/05/2003,"Hong Kong SAR, China",1726,267,1276
26/05/2003,"Macao SAR, China",2,0,0
26/05/2003,"Taiwan, China",585,72,112
26/05/2003,Colombia,1,0,1
26/05/2003,Finland,1,0,1
26/05/2003,France,7,0,6
26/05/2003,Germany,9,0,9
26/05/2003,India,3,0,3
26/05/2003,Indonesia,2,0,2
26/05/2003,Italy,9,0,9
26/05/2003,Kuwait,1,0,1
26/05/2003,Malaysia,5,2,3
26/05/2003,Mongolia,9,0,8
26/05/2003,New Zealand,1,0,1
26/05/2003,Philippines,12,2,10
26/05/2003,Republic of Ireland,1,0,1
26/05/2003,Republic of Korea,3,0,2
26/05/2003,Romania,1,0,1
26/05/2003,Singapore,206,31,163
26/05/2003,South Africa,1,1,0
26/05/2003,Spain,1,0,1
26/05/2003,Sweden,3,0,3
26/05/2003,Switzerland,1,0,1
26/05/2003,Thailand,8,2,6
26/05/2003,United Kingdom,4,0,4
26/05/2003,United States,65,0,33
26/05/2003,Viet Nam,63,5,58
27/05/2003,Brazil,2,0,2
27/05/2003,Canada,148,26,111
27/05/2003,China,5322,321,2944
27/05/2003,"Hong Kong SAR, China",1728,269,1285
27/05/2003,"Macao SAR, China",2,0,0
27/05/2003,"Taiwan, China",596,76,112
27/05/2003,Colombia,1,0,1
27/05/2003,Finland,1,0,1
27/05/2003,France,7,0,6
27/05/2003,Germany,9,0,9
27/05/2003,India,3,0,3
27/05/2003,Indonesia,2,0,2
27/05/2003,Italy,9,0,9
27/05/2003,Kuwait,1,0,1
27/05/2003,Malaysia,5,2,3
27/05/2003,Mongolia,9,0,9
27/05/2003,New Zealand,1,0,1
27/05/2003,Philippines,12,2,10
27/05/2003,Republic of Ireland,1,0,1
27/05/2003,Republic of Korea,3,0,2
27/05/2003,Romania,1,0,1
27/05/2003,Singapore,206,31,163
27/05/2003,South Africa,1,1,0
27/05/2003,Spain,1,0,1
27/05/2003,Sweden,3,0,3
27/05/2003,Switzerland,1,0,1
27/05/2003,Thailand,8,2,6
27/05/2003,United Kingdom,4,0,4
27/05/2003,United States,65,0,32
27/05/2003,Viet Nam,63,5,58
28/05/2003,Australia,6,0,6
28/05/2003,Brazil,2,0,2
28/05/2003,Canada,149,26,111
28/05/2003,China,5323,325,3036
28/05/2003,"Hong Kong SAR, China",1730,270,1295
28/05/2003,"Macao SAR, China",2,0,0
28/05/2003,"Taiwan, China",610,81,112
28/05/2003,Colombia,1,0,1
28/05/2003,Finland,1,0,1
28/05/2003,France,7,0,6
28/05/2003,Germany,9,0,9
28/05/2003,India,3,0,3
28/05/2003,Indonesia,2,0,2
28/05/2003,Italy,9,0,9
28/05/2003,Kuwait,1,0,1
